Date,ST-OM,ST-HM,ST-LM,ST-CM,ST-AM,ST-VM,ST-VS,MA-GP,MA-IF,MA-UR,MA-FF,MA-CS,MA-IP,MA-M2,MA-MR,MA-TR,MA-NP,MA-HS,MA-RS,MA-PC,MA-PP,MA-TB,MA-CP,MA-GD,MA-ER,MA-GI,MA-PS,MA-CC,MA-RI,MA-CU,MA-IE,DT-DT,MI-SP,MI-NS,EV-ANAT-B,EV-ANAT-P,EV-ANAT-E,EV-SAOU-B,EV-SAOU-P,EV-SAOU-E,EV-HPVAAP-B,EV-HPVAAP-P,EV-HPVAAP-E,EV-H1PA-B,EV-H1PA-P,EV-H1PA-E,EV-MEOU-B,EV-MEOU-P,EV-MEOU-E,EV-EBOU-B,EV-EBOU-P,EV-EBOU-E,EV-ZIVIOU-B,EV-ZIVIOU-P,EV-ZIVIOU-E,EV-CACETHAP-B,EV-CACETHAP-P,EV-CACETHAP-E,EV-COPA-B,EV-COPA-P,EV-COPA-E,EV-MAVACA-B,EV-MAVACA-P,EV-MAVACA-E,EV-COVA-B,EV-COVA-P,EV-COVA-E,EV-LOCORE-B,EV-LOCORE-P,EV-LOCORE-E
2000-01-03,34.47367982069651,34.8537557442983,33.11839212576548,33.73377247651418,18.87930634419123,7969547.666666667,119543215.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4663.8,8.06,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0155,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-03,1455.219970703125,4131.14990234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-04,33.05827033519745,33.5169019540151,31.894256655375163,32.17097012996673,17.946571811040243,7264756.333333333,108971345.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4663.8,8.06,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0309,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-04,1399.4200439453125,3901.68994140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-05,32.28535656134287,33.274700872103374,31.685659742355348,32.82892412344615,18.332685657342275,6009640.6,90144609.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4663.8,8.06,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0335,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-05,1402.1099853515625,3877.5400390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-06,32.797303183873495,33.581781045595804,32.396143134435015,33.21305447419484,18.565832849343614,6074897.666666667,91123465.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4663.8,8.06,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0324,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-06,1403.449951171875,3727.1298828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-07,33.78133602937063,36.17272664705912,33.48909541765849,35.98687469959259,20.155196261405944,10302611.133333333,154539167.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4663.8,8.15,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0294,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-07,1441.469970703125,3882.6201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-10,36.37842802206675,37.0092560450236,35.4184161901474,36.19929487705231,20.528071125348408,8130356.533333333,121955348.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4668.1,8.15,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0252,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-10,1457.5999755859375,4049.669921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-11,35.88715601762136,36.63529231548309,34.942581137021385,35.55391205151876,20.05436497529348,7046337.733333333,105695066.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4668.1,8.15,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0322,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-11,1438.56005859375,3921.18994140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-12,35.74553662935893,36.09656946659088,34.75824427604675,35.33496315479279,19.816249775886536,5015024.333333333,75225365.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4668.1,8.15,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0281,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-12,1432.25,3850.02001953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-13,35.324867216746014,36.47282277743022,34.884243019421895,35.80463860034943,20.22156891822815,6088261.066666666,91323916.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4668.1,8.15,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.027,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-13,1449.6800537109375,3957.2099609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-14,36.498956267038984,37.05155302683512,35.555605459213254,36.32877926826477,20.54936820268631,6916312.933333334,103744694.0,10002.179,169.3,4.0,5.45,112.0,91.4251,4668.1,8.18,6.66,131009.0,1636.0,268044.0,6542.9,128.3,-33360.0,565.043,5773392.0,1.0128,1950.65,4.5,1538.52018,9799.9,82.1714,,2000-01-14,1465.1500244140625,4064.27001953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
